client_id,product_id,date,year,month,shipments_to_client,shipments_from_client,end_stock,latent_demand,lost_sales,oos
C001,P001,2023-01-01,2023,1,0,29,27,29,0,0
C001,P001,2023-02-01,2023,2,10,30,7,30,0,0
C001,P001,2023-03-01,2023,3,51,45,13,45,0,0
C001,P001,2023-04-01,2023,4,23,33,3,33,0,0
C001,P001,2023-05-01,2023,5,58,44,17,44,0,0
C001,P001,2023-06-01,2023,6,52,64,5,64,0,0
C001,P001,2023-07-01,2023,7,55,52,8,52,0,0
C001,P001,2023-08-01,2023,8,59,56,11,56,0,0
C001,P001,2023-09-01,2023,9,47,46,12,46,0,0
C001,P001,2023-10-01,2023,10,23,26,9,26,0,0
C001,P001,2023-11-01,2023,11,57,46,20,46,0,0
C001,P001,2023-12-01,2023,12,24,34,10,34,0,0
C001,P001,2024-01-01,2024,1,16,26,0,28,2,1
C001,P001,2024-02-01,2024,2,38,36,2,36,0,0
C001,P001,2024-03-01,2024,3,24,26,0,26,0,1
C001,P001,2024-04-01,2024,4,33,27,6,27,0,0
C001,P001,2024-05-01,2024,5,66,52,20,52,0,0
C001,P001,2024-06-01,2024,6,74,70,24,70,0,0
C001,P001,2024-07-01,2024,7,40,59,5,59,0,0
C001,P001,2024-08-01,2024,8,63,48,20,48,0,0
C001,P001,2024-09-01,2024,9,33,47,6,47,0,0
C001,P001,2024-10-01,2024,10,32,38,0,38,0,1
C001,P001,2024-11-01,2024,11,47,37,10,37,0,0
C001,P001,2024-12-01,2024,12,23,28,5,28,0,0
C001,P001,2025-01-01,2025,1,45,37,13,37,0,0
C001,P001,2025-02-01,2025,2,37,40,10,40,0,0
C001,P001,2025-03-01,2025,3,39,49,0,49,0,1
C001,P001,2025-04-01,2025,4,37,31,6,31,0,0
C001,P001,2025-05-01,2025,5,47,38,15,38,0,0
C001,P001,2025-06-01,2025,6,69,70,14,70,0,0
C001,P001,2025-07-01,2025,7,37,51,0,56,5,1
C001,P001,2025-08-01,2025,8,74,54,20,54,0,0
C001,P001,2025-09-01,2025,9,32,46,6,46,0,0
C001,P002,2023-01-01,2023,1,0,44,69,44,0,0
C001,P002,2023-02-01,2023,2,0,42,27,42,0,0
C001,P002,2023-03-01,2023,3,32,49,10,49,0,0
C001,P002,2023-04-01,2023,4,41,39,12,39,0,0
C001,P002,2023-05-01,2023,5,52,57,7,57,0,0
C001,P002,2023-06-01,2023,6,96,91,12,91,0,0
C001,P002,2023-07-01,2023,7,46,46,12,46,0,0
C001,P002,2023-08-01,2023,8,70,72,10,72,0,0
C001,P002,2023-09-01,2023,9,64,64,10,64,0,0
C001,P002,2023-10-01,2023,10,24,34,0,42,8,1
C001,P002,2023-11-01,2023,11,54,35,19,35,0,0
C001,P002,2023-12-01,2023,12,19,38,0,40,2,1
C001,P002,2024-01-01,2024,1,32,32,0,34,2,1
C001,P002,2024-02-01,2024,2,45,41,4,41,0,0
C001,P002,2024-03-01,2024,3,39,36,7,36,0,0
C001,P002,2024-04-01,2024,4,42,43,6,43,0,0
C001,P002,2024-05-01,2024,5,53,54,5,54,0,0
C001,P002,2024-06-01,2024,6,91,80,16,80,0,0
C001,P002,2024-07-01,2024,7,66,82,0,85,3,1
C001,P002,2024-08-01,2024,8,92,67,25,67,0,0
C001,P002,2024-09-01,2024,9,47,52,20,52,0,0
C001,P002,2024-10-01,2024,10,49,49,20,49,0,0
C001,P002,2024-11-01,2024,11,22,35,7,35,0,0
C001,P002,2024-12-01,2024,12,44,37,14,37,0,0
C001,P002,2025-01-01,2025,1,55,51,18,51,0,0
C001,P002,2025-02-01,2025,2,29,41,6,41,0,0
C001,P002,2025-03-01,2025,3,35,41,0,44,3,1
C001,P002,2025-04-01,2025,4,42,42,0,44,2,1
C001,P002,2025-05-01,2025,5,75,65,10,65,0,0
C001,P002,2025-06-01,2025,6,63,72,1,72,0,0
C001,P002,2025-07-01,2025,7,94,72,23,72,0,0
C001,P002,2025-08-01,2025,8,91,88,26,88,0,0
C001,P002,2025-09-01,2025,9,78,72,32,72,0,0
C001,P003,2023-01-01,2023,1,16,43,11,43,0,0
C001,P003,2023-02-01,2023,2,46,40,17,40,0,0
C001,P003,2023-03-01,2023,3,35,43,9,43,0,0
C001,P003,2023-04-01,2023,4,52,42,19,42,0,0
C001,P003,2023-05-01,2023,5,17,33,3,33,0,0
C001,P003,2023-06-01,2023,6,58,41,20,41,0,0
C001,P003,2023-07-01,2023,7,26,44,2,44,0,0
C001,P003,2023-08-01,2023,8,29,30,1,30,0,0
C001,P003,2023-09-01,2023,9,53,37,17,37,0,0
C001,P003,2023-10-01,2023,10,48,54,11,54,0,0
C001,P003,2023-11-01,2023,11,26,36,1,36,0,0
C001,P003,2023-12-01,2023,12,44,39,6,39,0,0
C001,P003,2024-01-01,2024,1,40,42,4,42,0,0
C001,P003,2024-02-01,2024,2,47,45,6,45,0,0
C001,P003,2024-03-01,2024,3,39,34,11,34,0,0
C001,P003,2024-04-01,2024,4,51,42,20,42,0,0
C001,P003,2024-05-01,2024,5,23,33,10,33,0,0
C001,P003,2024-06-01,2024,6,50,43,17,43,0,0
C001,P003,2024-07-01,2024,7,41,44,14,44,0,0
C001,P003,2024-08-01,2024,8,34,39,9,39,0,0
C001,P003,2024-09-01,2024,9,54,43,20,43,0,0
C001,P003,2024-10-01,2024,10,41,45,16,45,0,0
C001,P003,2024-11-01,2024,11,23,39,0,39,0,1
C001,P003,2024-12-01,2024,12,36,36,0,37,1,1
C001,P003,2025-01-01,2025,1,27,27,0,35,8,1
C001,P003,2025-02-01,2025,2,44,36,8,36,0,0
C001,P003,2025-03-01,2025,3,44,35,17,35,0,0
C001,P003,2025-04-01,2025,4,24,41,0,41,0,1
C001,P003,2025-05-01,2025,5,79,52,27,52,0,0
C001,P003,2025-06-01,2025,6,21,39,9,39,0,0
C001,P003,2025-07-01,2025,7,30,35,4,35,0,0
C001,P003,2025-08-01,2025,8,44,32,16,32,0,0
C001,P003,2025-09-01,2025,9,29,36,9,36,0,0
C001,P004,2023-01-01,2023,1,0,52,37,52,0,0
C001,P004,2023-02-01,2023,2,48,85,0,85,0,1
C001,P004,2023-03-01,2023,3,89,87,2,87,0,0
C001,P004,2023-04-01,2023,4,61,55,8,55,0,0
C001,P004,2023-05-01,2023,5,144,128,24,128,0,0
C001,P004,2023-06-01,2023,6,80,104,0,110,6,1
C001,P004,2023-07-01,2023,7,91,91,0,126,35,1
C001,P004,2023-08-01,2023,8,2,2,0,103,101,1
C001,P004,2023-09-01,2023,9,28,28,0,120,92,1
C001,P004,2023-10-01,2023,10,68,53,15,53,0,0
C001,P004,2023-11-01,2023,11,74,77,12,77,0,0
C001,P004,2023-12-01,2023,12,79,69,22,69,0,0
C001,P004,2024-01-01,2024,1,37,59,0,69,10,1
C001,P004,2024-02-01,2024,2,85,81,4,81,0,0
C001,P004,2024-03-01,2024,3,118,90,32,90,0,0
C001,P004,2024-04-01,2024,4,54,69,17,69,0,0
C001,P004,2024-05-01,2024,5,91,99,9,99,0,0
C001,P004,2024-06-01,2024,6,175,132,52,132,0,0
C001,P004,2024-07-01,2024,7,79,119,12,119,0,0
C001,P004,2024-08-01,2024,8,158,121,49,121,0,0
C001,P004,2024-09-01,2024,9,104,122,31,122,0,0
C001,P004,2024-10-01,2024,10,50,74,7,74,0,0
C001,P004,2024-11-01,2024,11,94,77,24,77,0,0
C001,P004,2024-12-01,2024,12,31,55,0,61,6,1
C001,P004,2025-01-01,2025,1,58,56,2,56,0,0
C001,P004,2025-02-01,2025,2,122,80,44,80,0,0
C001,P004,2025-03-01,2025,3,29,64,9,64,0,0
C001,P004,2025-04-01,2025,4,76,71,14,71,0,0
C001,P004,2025-05-01,2025,5,109,114,9,114,0,0
C001,P004,2025-06-01,2025,6,159,147,21,147,0,0
C001,P004,2025-07-01,2025,7,145,145,21,145,0,0
C001,P004,2025-08-01,2025,8,153,116,58,116,0,0
C001,P004,2025-09-01,2025,9,52,110,0,116,6,1
C001,P005,2023-01-01,2023,1,0,55,35,55,0,0
C001,P005,2023-02-01,2023,2,13,48,0,49,1,1
C001,P005,2023-03-01,2023,3,70,50,20,50,0,0
C001,P005,2023-04-01,2023,4,48,61,7,61,0,0
C001,P005,2023-05-01,2023,5,67,54,20,54,0,0
C001,P005,2023-06-01,2023,6,32,48,4,48,0,0
C001,P005,2023-07-01,2023,7,51,36,19,36,0,0
C001,P005,2023-08-01,2023,8,34,49,4,49,0,0
C001,P005,2023-09-01,2023,9,76,59,21,59,0,0
C001,P005,2023-10-01,2023,10,28,49,0,51,2,1
C001,P005,2023-11-01,2023,11,60,46,14,46,0,0
C001,P005,2023-12-01,2023,12,59,57,16,57,0,0
C001,P005,2024-01-01,2024,1,69,67,18,67,0,0
C001,P005,2024-02-01,2024,2,71,63,26,63,0,0
C001,P005,2024-03-01,2024,3,43,52,17,52,0,0
C001,P005,2024-04-01,2024,4,45,53,9,53,0,0
C001,P005,2024-05-01,2024,5,36,45,0,55,10,1
C001,P005,2024-06-01,2024,6,65,49,16,49,0,0
C001,P005,2024-07-01,2024,7,67,57,26,57,0,0
C001,P005,2024-08-01,2024,8,33,50,9,50,0,0
C001,P005,2024-09-01,2024,9,41,50,0,51,1,1
C001,P005,2024-10-01,2024,10,63,50,13,50,0,0
C001,P005,2024-11-01,2024,11,20,32,1,32,0,0
C001,P005,2024-12-01,2024,12,60,49,12,49,0,0
C001,P005,2025-01-01,2025,1,66,62,16,62,0,0
C001,P005,2025-02-01,2025,2,20,36,0,37,1,1
C001,P005,2025-03-01,2025,3,91,59,32,59,0,0
C001,P005,2025-04-01,2025,4,24,46,10,46,0,0
C001,P005,2025-05-01,2025,5,70,54,26,54,0,0
C001,P005,2025-06-01,2025,6,53,59,20,59,0,0
C001,P005,2025-07-01,2025,7,28,42,6,42,0,0
C001,P005,2025-08-01,2025,8,58,59,5,59,0,0
C001,P005,2025-09-01,2025,9,49,36,18,36,0,0
C001,P006,2023-01-01,2023,1,0,59,52,59,0,0
C001,P006,2023-02-01,2023,2,14,53,13,53,0,0
C001,P006,2023-03-01,2023,3,70,66,17,66,0,0
C001,P006,2023-04-01,2023,4,59,57,19,57,0,0
C001,P006,2023-05-01,2023,5,52,71,0,81,10,1
C001,P006,2023-06-01,2023,6,139,108,31,108,0,0
C001,P006,2023-07-01,2023,7,85,116,0,126,10,1
C001,P006,2023-08-01,2023,8,125,106,19,106,0,0
C001,P006,2023-09-01,2023,9,71,70,20,70,0,0
C001,P006,2023-10-01,2023,10,53,64,9,64,0,0
C001,P006,2023-11-01,2023,11,76,75,10,75,0,0
C001,P006,2023-12-01,2023,12,49,54,5,54,0,0
C001,P006,2024-01-01,2024,1,49,50,4,50,0,0
C001,P006,2024-02-01,2024,2,48,45,7,45,0,0
C001,P006,2024-03-01,2024,3,34,41,0,58,17,1
C001,P006,2024-04-01,2024,4,68,56,12,56,0,0
C001,P006,2024-05-01,2024,5,120,91,41,91,0,0
C001,P006,2024-06-01,2024,6,92,122,11,122,0,0
C001,P006,2024-07-01,2024,7,116,96,31,96,0,0
C001,P006,2024-08-01,2024,8,66,97,0,99,2,1
C001,P006,2024-09-01,2024,9,128,114,14,114,0,0
C001,P006,2024-10-01,2024,10,27,41,0,52,11,1
C001,P006,2024-11-01,2024,11,63,63,0,65,2,1
C001,P006,2024-12-01,2024,12,82,58,24,58,0,0
C001,P006,2025-01-01,2025,1,35,49,10,49,0,0
C001,P006,2025-02-01,2025,2,38,48,0,70,22,1
C001,P006,2025-03-01,2025,3,49,49,0,50,1,1
C001,P006,2025-04-01,2025,4,66,56,10,56,0,0
C001,P006,2025-05-01,2025,5,65,71,4,71,0,0
C001,P006,2025-06-01,2025,6,102,95,11,95,0,0
C001,P006,2025-07-01,2025,7,145,112,44,112,0,0
C001,P006,2025-08-01,2025,8,120,125,39,125,0,0
C001,P006,2025-09-01,2025,9,48,73,14,73,0,0
C001,P007,2023-01-01,2023,1,8,74,16,74,0,0
C001,P007,2023-02-01,2023,2,64,75,5,75,0,0
C001,P007,2023-03-01,2023,3,64,69,0,77,8,1
C001,P007,2023-04-01,2023,4,48,34,14,34,0,0
C001,P007,2023-05-01,2023,5,44,48,10,48,0,0
C001,P007,2023-06-01,2023,6,42,45,7,45,0,0
C001,P007,2023-07-01,2023,7,39,44,2,44,0,0
C001,P007,2023-08-01,2023,8,48,45,5,45,0,0
C001,P007,2023-09-01,2023,9,40,42,3,42,0,0
